Method,Approach,Solver,Objective,Time,Status,User_time,NT
D-SDA_MIP_hull,k=Infinity,baron,2.889536968,900.59,maxTimeLimit,886.1899994,12
D-SDA_MIP_bigm,k=2,baron,3.130197459,117.79,optimal,111.6630008,12
D-SDA_MIP_hull,k=2,baron,3.130198133,595.73,optimal,586.5320002,12
MINLP,bigm,antigone,9.894736842,0.082999701,infeasible,NA,13
MINLP,hull,antigone,2.847894632,899.4610002,optimal,NA,13
MINLP,bigm,baron,2.84788282,900.0570001,optimal,NA,13
MINLP,hull,baron,2.847888173,900.0619997,optimal,NA,13
MINLP,bigm,scip,2.847894283,900.9829996,optimal,NA,13
MINLP,hull,scip,2.847894628,900.915,optimal,NA,13
MINLP,bigm,dicopt,2.847894621,21.14799998,optimal,NA,13
MINLP,hull,dicopt,2.847894632,39.7400002,optimal,NA,13
MINLP,bigm,sbb,2.847894622,29.09899978,optimal,NA,13
MINLP,hull,sbb,2.847894632,900.0390002,optimal,NA,13
MINLP,bigm,knitro,2.909533249,20.46199988,optimal,NA,13
MINLP,hull,knitro,2.847894632,8.992999652,optimal,NA,13
GDPopt,LOA,knitro,9.894736844,83.11576016,optimal,NA,13
GDPopt,GLOA,knitro,9.894736844,82.86753145,optimal,NA,13
GDPopt,LBB,knitro,9.894736842,900.124886,maxTimeLimit,NA,13
GDPopt,LOA,baron,3.130189427,4.525752679,optimal,NA,13
GDPopt,GLOA,baron,2.847894359,497.5736022,optimal,NA,13
GDPopt,LBB,baron,9.894736842,900.1249139,maxTimeLimit,NA,13
D-SDA_MIP_bigm,k=Infinity,knitro,2.847894632,15.21,optimal,0.956000271,13
D-SDA_MIP_hull,k=Infinity,knitro,3.130198134,24.65,optimal,2.233998268,13
D-SDA_MIP_bigm,k=2,knitro,3.130198133,7,optimal,0.40399977,13
D-SDA_MIP_hull,k=2,knitro,3.130198133,12.01,optimal,1.662999555,13
D-SDA_MIP_bigm,k=Infinity,baron,2.889536799,900.52,maxTimeLimit,890.3110002,13
D-SDA_MIP_hull,k=Infinity,baron,2.90953326,900.65,maxTimeLimit,885.9540006,13
D-SDA_MIP_bigm,k=2,baron,3.130185654,265.62,optimal,256.3520011,13
D-SDA_MIP_hull,k=2,baron,3.130198133,689.37,optimal,678.9890003,13
MINLP,bigm,antigone,9.894736842,0.082000159,infeasible,NA,14
MINLP,hull,antigone,2.889536969,899.2650001,optimal,NA,14
MINLP,bigm,baron,2.837980664,900.049,optimal,NA,14
MINLP,hull,baron,2.837980692,900.0739998,optimal,NA,14
MINLP,bigm,scip,2.837980352,900.6140002,optimal,NA,14
MINLP,hull,scip,2.889534883,900.7659997,optimal,NA,14
MINLP,bigm,dicopt,2.837980665,47.55799994,optimal,NA,14
MINLP,hull,dicopt,2.83798069,45.1539997,optimal,NA,14
MINLP,bigm,sbb,2.83798048,110.8969996,optimal,NA,14
MINLP,hull,sbb,2.837980683,4.840999818,optimal,NA,14
MINLP,bigm,knitro,2.837980681,48.40300013,optimal,NA,14
MINLP,hull,knitro,2.837980693,8.837999613,optimal,NA,14
GDPopt,LOA,knitro,9.894736844,107.5634929,optimal,NA,14
GDPopt,GLOA,knitro,9.894736844,107.0759928,optimal,NA,14
GDPopt,LBB,knitro,9.894736842,900.5767009,maxTimeLimit,NA,14
GDPopt,LOA,baron,3.200976595,4.75005422,optimal,NA,14
GDPopt,GLOA,baron,2.837972082,651.4082631,optimal,NA,14
GDPopt,LBB,baron,9.894736842,900.1640071,maxTimeLimit,NA,14
D-SDA_MIP_bigm,k=Infinity,knitro,2.837980681,18.71,optimal,2.117000311,14
D-SDA_MIP_hull,k=Infinity,knitro,2.837980693,28.2,optimal,1.8449998,14
D-SDA_MIP_bigm,k=2,knitro,3.130198133,8.21,optimal,0.901999231,14
D-SDA_MIP_hull,k=2,knitro,3.130198133,12.91,optimal,1.541000744,14
D-SDA_MIP_bigm,k=Infinity,baron,2.873133259,900.5,maxTimeLimit,888.0979999,14
D-SDA_MIP_hull,k=Infinity,baron,2.909505883,900.72,maxTimeLimit,884.4809983,14
D-SDA_MIP_bigm,k=2,baron,3.130154083,200.95,optimal,190.6770002,14
D-SDA_MIP_hull,k=2,baron,3.130198133,615.47,optimal,604.0059995,14
MINLP,bigm,antigone,9.894736842,0.086000212,infeasible,NA,15
MINLP,hull,antigone,2.934405103,899.3299999,optimal,NA,15
MINLP,bigm,baron,2.829394028,900.0039998,optimal,NA,15
MINLP,hull,baron,2.829391856,900.0150005,optimal,NA,15
MINLP,bigm,scip,2.829393732,900.8390002,optimal,NA,15
MINLP,hull,scip,2.829394059,900.8720002,optimal,NA,15
MINLP,bigm,dicopt,2.829394052,104.602,optimal,NA,15
MINLP,hull,dicopt,2.829394063,93.57500039,optimal,NA,15
MINLP,bigm,sbb,2.829394064,900.0500001,optimal,NA,15
MINLP,hull,sbb,2.829394064,6.903000176,optimal,NA,15
MINLP,bigm,knitro,2.829394051,93.41399996,optimal,NA,15
MINLP,hull,knitro,2.847894632,12.19400007,optimal,NA,15
GDPopt,LOA,knitro,2.837980693,21.08359348,optimal,NA,15
GDPopt,GLOA,knitro,2.837980693,139.607766,optimal,NA,15
GDPopt,LBB,knitro,9.894736842,900.1146399,maxTimeLimit,NA,15
GDPopt,LOA,baron,3.200962368,5.414517806,optimal,NA,15
GDPopt,GLOA,baron,2.829389006,825.7826751,optimal,NA,15
GDPopt,LBB,baron,9.894736842,900.1110123,maxTimeLimit,NA,15
D-SDA_MIP_bigm,k=Infinity,knitro,2.829394063,20.91,optimal,1.916001225,15
D-SDA_MIP_hull,k=Infinity,knitro,3.130198133,29.24,optimal,2.481999085,15
D-SDA_MIP_bigm,k=2,knitro,3.130198125,8.17,optimal,0.266000116,15
D-SDA_MIP_hull,k=2,knitro,3.130198133,13.03,optimal,0.627999636,15
D-SDA_MIP_bigm,k=Infinity,baron,2.889536817,900.54,maxTimeLimit,888.3600006,15
D-SDA_MIP_hull,k=Infinity,baron,2.909492365,900.76,maxTimeLimit,883.2900013,15
D-SDA_MIP_bigm,k=2,baron,3.130154442,228.57,optimal,217.5990002,15
D-SDA_MIP_hull,k=2,baron,3.130198133,802.66,optimal,790.3340009,15
MINLP,bigm,antigone,9.894736842,0.101000257,infeasible,NA,16
MINLP,hull,antigone,3.007277974,899.5410001,optimal,NA,16
MINLP,bigm,baron,2.821886294,900.0029997,optimal,NA,16
MINLP,hull,baron,2.821886409,900.0820006,optimal,NA,16
MINLP,bigm,scip,2.821886075,901.4260004,optimal,NA,16
MINLP,hull,scip,2.821886408,901.0890001,optimal,NA,16
MINLP,bigm,dicopt,2.821886403,101.6200005,optimal,NA,16
MINLP,hull,dicopt,2.821886409,156.2389999,optimal,NA,16
