Method,Approach,Solver,Objective,Time,Status,User_time,NT
GDPopt,GLOA,baron,2.873140220148646,266.57834930019453,optimal,NA,11
GDPopt,LBB,baron,9.894736842105207,900.1063061999157,maxTimeLimit,NA,11
MINLP,bigm,antigone,nan,0.06400023121386766,infeasible,NA,12
MINLP,hull,antigone,2.8594656076335556,899.917000089772,optimal,NA,12
MINLP,bigm,baron,2.8594654221380704,900.4940004553646,optimal,NA,12
MINLP,hull,baron,2.859465032938582,900.3920000279322,optimal,NA,12
MINLP,bigm,scip,2.8594652420118956,901.3599998317659,optimal,NA,12
MINLP,hull,scip,2.8594656054921335,900.7940000854433,optimal,NA,12
MINLP,bigm,dicopt,2.8594654155595074,37.36600005067885,optimal,NA,12
MINLP,hull,dicopt,2.8594656076332465,33.80300011485815,optimal,NA,12
MINLP,bigm,sbb,2.8594656028690126,15.217000292614102,optimal,NA,12
MINLP,hull,sbb,2.859465607544865,8.355999737977982,optimal,NA,12
GDPopt,LOA,msnlp,3.314845403108323,5.5229172999970615,optimal,NA,12
GDPopt,GLOA,msnlp,2.8594656076425475,399.47466520033777,optimal,NA,12
GDPopt,LBB,msnlp,9.884851990115068,900.1198642998934,maxTimeLimit,NA,12
GDPopt,LOA,knitro,9.89461755954294,58.12129049981013,optimal,NA,12
GDPopt,GLOA,knitro,9.89461755954294,58.121085199993104,optimal,NA,12
GDPopt,LBB,knitro,9.884851990115068,900.1882874998264,maxTimeLimit,NA,12
GDPopt,LOA,baron,3.314845403072333,3.583298500161618,optimal,NA,12
GDPopt,GLOA,baron,2.859462552749308,378.71150430012494,optimal,NA,12
GDPopt,LBB,baron,9.884851990115068,900.1096763000824,maxTimeLimit,NA,12
MINLP,bigm,antigone,nan,0.0760003924369812,infeasible,NA,14
MINLP,hull,antigone,2.9095332619150023,899.9940000241622,optimal,NA,14
MINLP,bigm,baron,2.8379805201436885,900.3049996448681,optimal,NA,14
MINLP,hull,baron,2.8379806283221662,900.121000315994,optimal,NA,14
MINLP,bigm,scip,2.8379803369475693,901.826999662444,optimal,NA,14
MINLP,hull,scip,2.8379806874142885,900.9159995242953,optimal,NA,14
MINLP,bigm,dicopt,2.8379806911806016,51.39799998141825,optimal,NA,14
MINLP,hull,dicopt,2.8379806927609628,55.62600020784885,optimal,NA,14
MINLP,bigm,sbb,2.837980692580415,80.13999983668327,optimal,NA,14
MINLP,hull,sbb,2.837980668243627,12.679000454954803,optimal,NA,14
GDPopt,LOA,msnlp,3.2009765945533495,6.0209262003190815,optimal,NA,14
GDPopt,GLOA,msnlp,2.837980692760376,699.6189536000602,optimal,NA,14
GDPopt,LBB,msnlp,9.894736842105251,900.1309815002605,maxTimeLimit,NA,14
GDPopt,LOA,knitro,9.89473684413119,99.83302060002461,optimal,NA,14
GDPopt,GLOA,knitro,9.89473684413119,100.52218319987878,optimal,NA,14
GDPopt,LBB,knitro,9.894736842105251,900.1579700000584,maxTimeLimit,NA,14
